,item_no,embedding
99,BA6664,"[ 1.69045240e-01  1.32709488e-01 -3.02221030e-01 -3.78014594e-02
 -3.04533124e-01 -2.84794807e-01 -2.72407103e-02 -3.62905502e-01
  3.62840354e-01 -6.77902177e-02  1.03261717e-01 -8.22926983e-02
 -2.90298045e-01  2.35418469e-01  1.11835234e-01  3.40054005e-01
  4.72143367e-02  1.28293097e-01  4.09561455e-01 -5.27016670e-02
 -3.41090262e-01 -2.33613431e-01  1.80273175e-01 -1.04105584e-01
 -3.66873682e-01 -1.72670156e-01  3.85420293e-01 -1.08471930e-01
  3.99588466e-01 -2.98966289e-01  8.96166265e-03 -1.16136752e-01
  2.38489762e-01  4.71434832e-01  1.62197977e-01  1.14326961e-01
  2.21010059e-01 -1.74543187e-02 -2.28746042e-01 -4.44846511e-01
  1.56666264e-01 -1.02836989e-01  1.91457272e-01  2.85522938e-01
  1.03392571e-01 -1.29680872e-01 -7.16428831e-03  4.04528379e-02
 -4.31520566e-02 -3.29023637e-02 -4.78805482e-01 -4.50212419e-01
  7.04823062e-03 -5.92678860e-02  2.64883935e-02  5.40217534e-02
  4.06719744e-04 -2.39714429e-01  1.95114583e-01  1.58820271e-01
  2.91380525e-01 -3.74984741e-01 -3.09576690e-01 -1.25822157e-01
  5.53401113e-02  6.26467988e-02  1.14871666e-01  1.25130147e-01
 -1.24727517e-01  7.47541562e-02  7.58325756e-02  4.65056360e-01
  3.70256603e-03 -7.09090114e-01  3.39634836e-01  1.75779730e-01
  2.01344192e-01  3.06870997e-01  1.64421499e-01 -1.98006809e-01
  1.01470947e-01  2.05576941e-01 -1.28274634e-02  1.33861631e-01
 -9.19720158e-02 -4.85759497e-01 -2.14113474e-01 -7.85438120e-02
 -3.66270661e-01  5.75600803e-01  1.35134429e-01  1.70720086e-01
  1.86748773e-01  2.96319187e-01 -3.42666984e-01  3.49816382e-01
 -4.30326276e-02  2.96043187e-01 -5.81583738e-01 -1.37839928e-01
 -2.12986678e-01  1.53301984e-01 -3.11048597e-01  2.33152688e-01
 -3.00786763e-01 -2.72155792e-01  2.79866606e-01 -4.12705466e-02
  1.40855849e-01  2.35606164e-01 -4.33427393e-01 -1.70233577e-01
 -8.56016204e-02  3.13958675e-01 -4.01124656e-02 -2.85268098e-01
  1.27039522e-01  8.64790082e-02  3.52560490e-01 -1.27029210e-01
  1.30470723e-01 -4.85375136e-01 -5.22256017e-01 -3.63388389e-01
 -4.35840249e-01  1.13209188e-02  9.11474600e-02  1.44409761e-01]"
100,BA6122,"[ 0.10222041  0.11882067 -0.16408509 -0.05139352 -0.24368894 -0.30239528
 -0.06276021 -0.26804218  0.26671606  0.0020929   0.21046057  0.10960997
 -0.21157718  0.13466328  0.18403465  0.41077563  0.01303632  0.14877766
  0.3044935  -0.08790038 -0.24318883 -0.20636731  0.21487078  0.02065543
 -0.30161172 -0.15676764  0.40384176 -0.0568714   0.28655326 -0.2566053
 -0.04876428  0.03039403  0.21768628  0.3723013   0.1496472   0.16507569
  0.18451887  0.11165588 -0.2978425  -0.19549084  0.08330669  0.01746061
  0.0964957   0.34958884  0.15141915 -0.15222089  0.15696168 -0.10229947
 -0.004894    0.02148445 -0.4436577  -0.38875425  0.06960602 -0.11414345
 -0.04368819 -0.10172248  0.06226223 -0.15168898  0.23340145  0.04680561
  0.20771284 -0.35902137 -0.21754298 -0.22382861  0.15741612  0.14931887
  0.07676679  0.16749659 -0.2191166   0.0684146   0.09454228  0.3316512
  0.12670887 -0.5331789   0.21455681  0.11145025  0.13561499  0.24923855
  0.1637125  -0.05815254  0.15571414  0.14662068 -0.09379165  0.12176236
 -0.01924218 -0.39603537 -0.15224233 -0.00481809 -0.08762494  0.5288378
  0.09406551  0.13882487  0.22765392  0.21663538 -0.29577264  0.34095725
 -0.11001921  0.21467245 -0.5723789  -0.24621546 -0.15241778  0.21729678
 -0.19288713  0.23577663 -0.10940042 -0.26129887  0.14760622  0.07596659
  0.15488236  0.11433468 -0.3418092  -0.21403557 -0.16161166  0.43077093
 -0.02692007 -0.2313242   0.03821378  0.13654399  0.34043032 -0.05745681
 -0.02955139 -0.4054483  -0.44174466 -0.2838093  -0.3046441   0.07371277
  0.13096708  0.02769524]"
101,BA5877,"[ 8.88014436e-02  8.49594772e-02 -8.28963891e-02 -2.22617805e-01
 -2.51511782e-01 -5.29228985e-01 -8.91244709e-02 -3.51894408e-01
  2.80256838e-01  8.89340714e-02  3.36555034e-01  9.22614112e-02
 -1.42676890e-01  2.06688941e-02  1.71940982e-01  5.48846960e-01
 -1.27713829e-01  3.33956718e-01  3.86575818e-01 -4.79315072e-02
 -1.67418569e-01 -1.78126186e-01  3.22457969e-01  1.77990288e-01
 -2.01364338e-01 -7.61219263e-02  4.67177629e-01 -3.16566080e-02
  2.09779114e-01 -3.16304177e-01 -3.08590591e-01  1.22505412e-01
  2.41577014e-01  1.95689827e-01  2.89972007e-01  3.39171439e-01
  6.27517700e-02  1.03694297e-01 -4.06461239e-01 -1.03811711e-01
  3.59907001e-02  6.46199137e-02 -1.01345271e-01  4.12203223e-01
  1.43004641e-01 -1.53145194e-01  1.26990825e-01 -4.87719402e-02
  6.48529604e-02  1.08370669e-01 -4.40938741e-01 -2.64968932e-01
  2.63051867e-01 -9.14741531e-02 -3.85941491e-02 -2.54800081e-01
 -8.53938013e-02 -2.39494622e-01  2.71719933e-01  5.36423177e-04
  2.34477833e-01 -5.26293933e-01 -4.41101998e-01 -1.33721858e-01
  1.39000997e-01  9.44365487e-02  6.40736967e-02  1.69020414e-01
 -3.77360761e-01  7.09541738e-02  1.60991684e-01  3.26091468e-01
  2.71645755e-01 -4.97474462e-01  1.65985763e-01  4.07662690e-02
  2.32529163e-01  5.35600632e-02  1.54844791e-01  9.24315602e-02
 -3.90616432e-02  1.11636207e-01 -4.50641215e-02  7.62424991e-02
  6.63482621e-02 -4.10807192e-01 -3.34482759e-01 -9.16335285e-02
 -1.38465613e-02  4.63836014e-01  6.73945844e-02  1.25808626e-01
  2.10222602e-01  3.31782877e-01 -2.77695715e-01  4.70860422e-01
 -2.05771625e-03  1.41926020e-01 -6.21840179e-01 -4.95934606e-01
 -1.09005585e-01  1.07878752e-01 -3.86804752e-02  3.29242051e-01
 -3.10620293e-02 -3.27550590e-01  1.14023142e-01  2.74010926e-01
  1.75278679e-01  5.40357232e-02 -3.76434028e-01 -5.45429960e-02
 -3.66101623e-01  4.04526651e-01  1.49587721e-01 -2.25998044e-01
  1.99926794e-02  2.65803337e-01  4.03986126e-01  1.21147953e-01
 -2.21023351e-01 -4.70072180e-01 -5.81636608e-01 -3.04861337e-01
 -2.88530648e-01  1.64597958e-01  2.97170877e-01 -1.37062296e-02]"
102,BA5963,"[-0.1401976   0.07546683  0.02154573 -0.51936406 -0.17056376 -0.75350094
 -0.4182822  -0.34045532  0.14270851  0.18710592  0.6156533   0.3605074
 -0.09786848 -0.34581113  0.5750265   0.85452354 -0.4912574   0.5031543
  0.07479475  0.10191495  0.20021422 -0.07082137  0.65512246  0.1754314
 -0.03893097 -0.08089647  0.56048334  0.10960482 -0.13224086 -0.17186818
 -0.47130632  0.38510397  0.06868343 -0.15213335  0.3837022   0.68560183
 -0.47517017  0.19219473 -0.6148447   0.11737394 -0.26444787  0.3786525
 -0.46363264  0.7164793   0.24141909  0.08990145  0.3709052  -0.1934714
  0.1326294   0.21316737 -0.5686879   0.18599994  0.7008029  -0.11426395
 -0.06644996 -0.8120762  -0.1476427  -0.33095556  0.23366925 -0.6269026
 -0.02714872 -0.50349516 -0.49281546 -0.08828326  0.39507216  0.15505749
 -0.22009937  0.3605888  -0.5082407   0.08268837  0.24167967  0.07521043
  0.41454762 -0.24751559 -0.30071855 -0.08302164  0.27415916 -0.54958063
  0.13272813  0.44381124 -0.12872835 -0.23514885 -0.08154738  0.0402209
  0.20637989  0.01825237 -0.6985905   0.1338101  -0.05608173  0.38187578
  0.24619946  0.01953007  0.25147012  0.21429285 -0.22971639  0.5052596
  0.05232182 -0.2417756  -0.47960702 -0.8632908   0.21851885  0.17080313
  0.3377505   0.25317916  0.4330776  -0.36900288 -0.3401424   0.27480242
  0.14783354 -0.04920744 -0.19191964 -0.06460043 -0.76558447  0.46854255
  0.47178724  0.0311434  -0.28465438  0.4473161   0.22271952  0.5567022
 -0.88030297 -0.35660133 -0.55393904 -0.16437268 -0.0242378   0.3328424
  0.46690968 -0.33265018]"
103,BA5088,"[ 0.12284598  0.12309455 -0.2516086  -0.0856143  -0.27135697 -0.33564097
 -0.05037697 -0.31923896  0.3543934  -0.07143775  0.33626863  0.00628377
 -0.27819902  0.14773086  0.22117797  0.43345934  0.05667148  0.05404436
  0.3651803  -0.11013108 -0.30308855 -0.18006667  0.24909985  0.0067568
 -0.30472493 -0.23060411  0.41158274 -0.11565173  0.34104034 -0.31658244
 -0.06752037 -0.07054087  0.28134555  0.40293333  0.18823966  0.17532107
  0.18719074  0.1084822  -0.3210047  -0.26566684  0.03741345 -0.02530102
  0.14020765  0.37013984  0.09270827 -0.22392485  0.09783441 -0.11776952
  0.00312688  0.0448215  -0.50221986 -0.44357175  0.13152608 -0.09410675
 -0.12941776 -0.04240343  0.08572905 -0.20700197  0.16812572  0.03191488
  0.28092283 -0.37282538 -0.22924373 -0.2526946   0.12175016  0.10988351
 -0.01053783  0.19679594 -0.20517667  0.06959175  0.23605193  0.45017678
  0.04426012 -0.60212445  0.21086645  0.09934579  0.10119593  0.28977334
  0.21715468 -0.10081542  0.13344707  0.1116929  -0.06488048  0.01075491
 -0.0243253  -0.5187776  -0.24998507  0.03026076 -0.227239    0.57692105
  0.15918642  0.09779117  0.26696205  0.19631538 -0.27215853  0.42335078
 -0.05304737  0.25176302 -0.6876017  -0.20567068 -0.1760118   0.18154943
 -0.28112242  0.29143667 -0.21925655 -0.23383403  0.17649472  0.03802466
  0.16338097  0.26023024 -0.4124089  -0.24667665 -0.17818235  0.45823258
 -0.06106595 -0.33541408  0.10232504  0.18230818  0.35558844 -0.06686743
 -0.0459102  -0.4234042  -0.5476149  -0.38687146 -0.3016498   0.02526264
  0.11796007  0.04984593]"
104,BA5613,"[ 0.04675645  0.11203308 -0.17964512 -0.06583562 -0.18844333 -0.31577623
 -0.01324259 -0.31522667  0.2807196   0.04204503  0.13086984  0.02223941
 -0.26720852  0.12932897  0.13328677  0.35358182  0.03081262  0.19733295
  0.32457054 -0.04047584 -0.25216243 -0.17719436  0.19166073  0.00391044
 -0.24993175 -0.06437571  0.36536625 -0.04225594  0.29007813 -0.23607668
 -0.05972613  0.00891693  0.21784227  0.4107647   0.11646351  0.16627523
  0.13626647  0.09720413 -0.24095275 -0.20264536  0.08401805 -0.04640207
  0.0535911   0.2748099   0.15190008 -0.11264198  0.09225307 -0.00933811
  0.00100092 -0.01282793 -0.38181627 -0.3605631   0.0973044  -0.07926303
 -0.03459641 -0.03334743  0.03348481 -0.147574    0.19854188  0.02437242
  0.18337385 -0.36521572 -0.24456817 -0.13301563  0.08143015  0.07619695
  0.05261357  0.14746201 -0.2276004   0.04879416  0.06641824  0.32698148
  0.09849847 -0.53403044  0.17707738  0.12898368  0.19524577  0.24715081
  0.10495155 -0.05765739  0.03067775  0.18564725 -0.03741981  0.10476583
 -0.03748498 -0.4158488  -0.17735276 -0.07417725 -0.1557775   0.47020963
  0.10585273  0.12231256  0.19684693  0.24011424 -0.27643052  0.3537347
 -0.08093835  0.24158129 -0.5659969  -0.23594409 -0.15627119  0.13595358
 -0.12797183  0.2733857  -0.14824903 -0.29060197  0.18606561  0.08322967
  0.18187349  0.09525426 -0.31057087 -0.09197544 -0.06930845  0.33199382
  0.02457054 -0.17526829  0.08493741  0.16995132  0.30833218 -0.08393741
 -0.01261228 -0.38560888 -0.4318213  -0.33691967 -0.39195585  0.07274671
  0.12981844  0.06452705]"
105,DA9121,"[ 0.05162267  0.21037012 -0.33459654 -0.27193958 -0.35480186 -0.47727025
 -0.01826774 -0.33971533  0.34892184  0.0434035   0.4116595   0.17841133
 -0.31439027  0.08729185  0.29727966  0.5784682  -0.05397067  0.2755334
  0.29628068 -0.12651426 -0.22440338 -0.23677507  0.42193195  0.0466981
 -0.36617392 -0.17237851  0.4867369  -0.03041501  0.23950535 -0.29451296
 -0.1222932   0.20292924  0.27857226  0.29158458  0.24350718  0.3357782
 -0.07976206  0.09906287 -0.3157063  -0.17138222  0.04544537  0.03867026
 -0.08125085  0.41230604  0.07902911 -0.17159633  0.23970288 -0.02840947
  0.12312018  0.1637007  -0.6387417  -0.2826181   0.2450538  -0.13892171
 -0.0559728  -0.31436092  0.01941418 -0.16776769  0.31404236 -0.03570632
  0.22299764 -0.45441884 -0.34324318 -0.26159948  0.14800398  0.10114402
  0.00097046  0.27942958 -0.34520942  0.08725631  0.21009612  0.5287494
  0.19553307 -0.5570979   0.03170344  0.12179798  0.27133358  0.21892875
  0.28941292  0.06714454  0.10654499  0.18761143  0.00836681  0.0625712
 -0.04327013 -0.41885608 -0.30954322 -0.02763685 -0.09911386  0.61395997
  0.25477692  0.0767223   0.32676265  0.22876403 -0.20876795  0.3667869
  0.06259371  0.17220622 -0.67930543 -0.52867115 -0.18370512  0.19317913
 -0.09196877  0.34328896 -0.03089394 -0.1424438   0.10624297  0.01966878
  0.15678772  0.1353493  -0.29775947 -0.30094698 -0.33121848  0.6606192
  0.0600621  -0.32981098  0.02546234  0.23841798  0.45434505 -0.00687567
 -0.31642333 -0.4170566  -0.65788794 -0.28346416 -0.39746726  0.15696274
  0.2990206  -0.02865487]"
106,BA5484,"[ 0.06373692  0.06673947 -0.15792954 -0.16148996 -0.20073384 -0.40402722
 -0.05432412 -0.34497595  0.3326546   0.07357216  0.28831652  0.07897853
 -0.22006714  0.03971463  0.17120281  0.4211807   0.01514118  0.24748093
  0.3543399  -0.0831041  -0.19383517 -0.2359049   0.2993076   0.09759125
 -0.20729402 -0.09269556  0.41035092 -0.0417387   0.25767365 -0.26398522
 -0.16396801  0.09366724  0.20011602  0.29200765  0.20451869  0.25111502
  0.02390458  0.07029142 -0.30942076 -0.1447446   0.06210081  0.04289595
 -0.0602862   0.36235654  0.11562514 -0.1358962   0.12375645 -0.06107863
  0.04445501  0.06895571 -0.43027776 -0.3158828   0.21075913 -0.12454763
 -0.10213833 -0.22641219 -0.01677138 -0.16800827  0.20481062 -0.03271616
  0.18142979 -0.3887087  -0.27628648 -0.1273242   0.17037642  0.11404052
 -0.02854875  0.24461663 -0.2660044   0.04418395  0.19215396  0.3357852
  0.11794276 -0.52357376  0.07509514  0.04192937  0.13726348  0.16319111
  0.23597631  0.08391106  0.05738239  0.13288243 -0.05188677  0.05674665
 -0.04883261 -0.4534675  -0.2716898  -0.05224333 -0.06195385  0.46131843
  0.15125567  0.11370012  0.21700853  0.21715444 -0.21400109  0.33838755
  0.01218988  0.16276675 -0.56623334 -0.37333977 -0.18028334  0.09660228
 -0.16176942  0.264677   -0.07682317 -0.21671973  0.0837566   0.1295043
  0.16368984  0.10103748 -0.3163401  -0.13942826 -0.20375131  0.44164783
  0.06035168 -0.18873984  0.03719362  0.28633478  0.36467144  0.02261916
 -0.17802808 -0.38921675 -0.5090669  -0.31549144 -0.26081926  0.04616286
  0.20390694 -0.05021528]"
107,BA5092,"[ 0.12537955  0.07125302 -0.22458607 -0.16082302 -0.3164423  -0.53883374
 -0.10258207 -0.47870895  0.27997637  0.09505315  0.28238574  0.10548516
 -0.19921473  0.04594979  0.22377607  0.5118798  -0.05261367  0.22971755
  0.3443182   0.03326727 -0.30439687 -0.24545029  0.39136943  0.05783489
 -0.2483891  -0.1361443   0.4446963  -0.05422211  0.21153986 -0.29784772
 -0.16417108  0.0207182   0.28600967  0.34800082  0.20847827  0.2701896
  0.0661025   0.01263857 -0.3506649  -0.1750097   0.01605947  0.04643706
 -0.0380672   0.39118925  0.250086   -0.07455304  0.209117   -0.04486484
  0.10577752  0.02392894 -0.5027735  -0.2874412   0.22012052 -0.09192695
 -0.07292733 -0.26995224 -0.01082268 -0.22687285  0.2710893  -0.01435954
  0.16316114 -0.37812084 -0.27335933 -0.23507929  0.12277954  0.0564679
  0.00148799  0.21647805 -0.26452607  0.04111612  0.10787514  0.4387266
  0.1664983  -0.558676    0.13539696  0.05889624  0.23103496  0.13504246
  0.2031106   0.00107786  0.0526015   0.15301679 -0.08475936  0.14671966
 -0.01738413 -0.45979553 -0.31688803 -0.08064816 -0.12158208  0.53696954
  0.27833483  0.14443626  0.2693562   0.23689702 -0.30666444  0.45771942
  0.03083938  0.18877321 -0.57017475 -0.35495287 -0.12817812  0.16154656
 -0.17962664  0.2449553  -0.09512576 -0.15989028  0.13884312  0.13887107
  0.1332841   0.19157296 -0.4008196  -0.18711665 -0.26984686  0.46766713
  0.08509404 -0.17315853 -0.00581546  0.26195154  0.44617623  0.00853697
 -0.15577537 -0.42168462 -0.6011936  -0.3461923  -0.40560555  0.16289158
  0.24346617 -0.09035606]"
108,DA9113,"[ 0.09776379  0.07257009 -0.15197134 -0.0763501  -0.32221293 -0.338391
 -0.05263634 -0.31093746  0.2636123   0.05785644  0.16261122  0.05950298
 -0.1787022   0.15006837  0.20339832  0.39594916 -0.03001925  0.16658908
  0.3786323  -0.11247424 -0.20167074 -0.27412507  0.22976646  0.00688028
 -0.3037953  -0.18697073  0.4315567  -0.1047928   0.32257152 -0.26089707
 -0.03684522  0.06701783  0.19298162  0.35919032  0.17984657  0.16819108
  0.13494775  0.05913108 -0.27107567 -0.250933    0.1613452  -0.00449362
  0.06102666  0.2789656   0.10023211 -0.10780159  0.12911479 -0.1004628
  0.01838454  0.05988205 -0.5513588  -0.3104313   0.12586959 -0.08072859
 -0.05779213 -0.15977605  0.04205713 -0.20384763  0.22599211  0.03411519
  0.22993094 -0.3874715  -0.2688286  -0.12933263  0.10243607  0.13733608
  0.06837328  0.19010812 -0.245219    0.07593797  0.12828568  0.37562206
  0.07871336 -0.6099415   0.19681242  0.14362918  0.13145298  0.24797535
  0.21369335 -0.06866431  0.18951966  0.1557075  -0.04433112  0.09973237
 -0.0447439  -0.41223252 -0.19950378 -0.0673115  -0.1874285   0.56490433
  0.12781364  0.2337779   0.19935784  0.2974592  -0.25271383  0.34664977
 -0.02751482  0.17893076 -0.5492831  -0.25661924 -0.2628425   0.15219662
 -0.25519842  0.29970095 -0.1609413  -0.21152972  0.20479262  0.05649804
  0.18046902  0.18383719 -0.36164582 -0.25030917 -0.18337573  0.443558
 -0.04078828 -0.19571498  0.05857192  0.13975304  0.38262686 -0.02091554
 -0.06619    -0.5045257  -0.5081775  -0.31207085 -0.3279252   0.05705787
  0.20099398 -0.02971452]"
109,BA3922,"[ 0.0433378   0.01847752 -0.1503531  -0.20716414 -0.2808343  -0.47007036
 -0.08002353 -0.28836092  0.2903714   0.13442698  0.3061078   0.1760652
 -0.18576673 -0.00223666  0.21315742  0.487139    0.02256011  0.28860244
  0.38580853 -0.11665341 -0.20415063 -0.31949952  0.3908436   0.12751883
 -0.2517546  -0.15511306  0.50266063 -0.03324874  0.2577236  -0.24195674
 -0.16018437  0.15587308  0.20953055  0.2803309   0.2540993   0.26552343
  0.1010486  -0.02334629 -0.3552906  -0.10617332  0.12759109  0.03670953
 -0.09320329  0.3694585   0.13160078 -0.1090779   0.24863794 -0.09893062
 -0.02257416  0.08654562 -0.54783815 -0.3503878   0.25209966 -0.09441882
 -0.09879844 -0.26895118 -0.04361043 -0.15964815  0.244351   -0.04803909
  0.19808754 -0.4429055  -0.2644786  -0.1836693   0.09979707  0.1646876
  0.00239156  0.25534752 -0.32072407  0.09208981  0.25263372  0.36095375
  0.18330067 -0.57119495  0.07205375  0.0374734   0.12033807  0.15714455
  0.25674358  0.13542484  0.1403901   0.17138876 -0.0430553   0.05959104
 -0.03813335 -0.39964294 -0.20100918 -0.05862815 -0.0061013   0.49834633
  0.19497341  0.18958482  0.24196681  0.2741148  -0.21711826  0.44359785
  0.10218912  0.18054262 -0.59123385 -0.38759407 -0.19993135  0.08125415
 -0.10915802  0.27482307 -0.07393512 -0.23031074  0.10900152  0.21542132
  0.14786749  0.12605014 -0.3660611  -0.21089369 -0.22632906  0.45448914
  0.10220513 -0.19707581  0.03587371  0.24417257  0.4738753   0.02446786
 -0.15933523 -0.40730044 -0.51787674 -0.32854515 -0.26810598  0.06481884
  0.25469464 -0.09157734]"
110,BA6502,"[ 1.19615626e-02  2.69774526e-01 -2.04790384e-03 -5.88332117e-02
 -2.09501565e-01 -3.57203782e-01 -1.65491253e-01  9.31539387e-03
  2.93542743e-01 -1.46532565e-01  1.27948910e-01  2.13455141e-01
 -2.46584862e-01  1.29001915e-01  4.48115170e-01  5.08161187e-01
 -1.56563312e-01  1.72278732e-01  1.44885942e-01  3.53407338e-02
 -1.00610137e-01 -1.29154682e-01  1.17562048e-01  3.10092010e-02
 -3.28543007e-01 -2.50622988e-01  3.58415604e-01  1.89857185e-02
  1.87931389e-01 -2.43324041e-01 -4.75913286e-04  2.00765193e-01
  2.11366937e-01  2.88470477e-01  1.37963854e-02  3.31738979e-01
  1.19387247e-02  1.90429896e-01 -4.04927015e-01 -3.16906750e-01
 -1.41522408e-01  2.12606788e-01 -6.52108490e-02  4.67786849e-01
  1.33274153e-01  4.51085120e-02  3.52579445e-01 -3.87843788e-01
 -2.05195919e-02  4.39845659e-02 -5.67785323e-01 -2.20853224e-01
  1.57707050e-01 -9.02820528e-02 -1.49295628e-01 -2.43148550e-01
  1.43826544e-01 -3.72740686e-01  8.46738666e-02 -3.61544490e-02
  1.57091632e-01 -2.40931496e-01 -2.82753557e-01 -1.99189812e-01
  2.40484908e-01  2.00595438e-01  1.26008123e-01  2.09002972e-01
 -3.18466723e-01  2.89696962e-01  2.53116190e-02  3.21366608e-01
  1.60094768e-01 -4.23842132e-01  2.10323811e-01  2.02974096e-01
  2.63700902e-01  9.81461331e-02  1.78747475e-01 -1.18591681e-01
  1.39385387e-01 -5.63578382e-02 -1.86787322e-01  2.20839798e-01
  1.60075575e-01 -2.65671015e-01 -1.29703090e-01  1.32185787e-01
 -3.42334867e-01  5.59896588e-01  1.75723970e-01 -1.09155998e-01
  3.57744724e-01  1.09816022e-01 -2.64873147e-01  3.10649693e-01
 -1.98429868e-01  8.77924338e-02 -7.35846221e-01 -3.53894621e-01
  2.81641856e-02  3.00534785e-01 -1.23800896e-01  2.59756476e-01
 -5.35437390e-02 -2.46050596e-01  1.10068478e-01 -9.09905508e-02
  4.30628657e-04  2.11741060e-01 -1.50677621e-01 -4.18761909e-01
 -2.69868135e-01  5.35005331e-01 -8.55801404e-02 -3.28368843e-01
 -2.43226513e-02  1.82128593e-01  1.25122458e-01  5.47019392e-02
 -2.85260290e-01 -4.86332208e-01 -3.80072176e-01 -2.66430914e-01
 -2.39811286e-01  5.73412329e-02  2.32254595e-01  3.54710519e-02]"
111,BA5412,"[ 0.04569025  0.09438556 -0.09882065 -0.01560126 -0.34126374 -0.32836908
  0.05731882 -0.31380367  0.3588673   0.15653032  0.16290948  0.01098748
 -0.22584042  0.09295794  0.09797726  0.36776984 -0.022863    0.2974811
  0.38003558 -0.12390331 -0.21282421 -0.39687333  0.2873599   0.00894595
 -0.27583674 -0.08610565  0.45658088 -0.11528057  0.3028642  -0.2089662
 -0.0764081   0.12424818  0.23738758  0.40707707  0.17563452  0.24232915
  0.11477467 -0.06233702 -0.16696264 -0.29522642  0.17248712 -0.09988836
 -0.05392394  0.26586497  0.15476485 -0.03458953  0.13534585  0.02523006
  0.04933582  0.04915648 -0.4705245  -0.33195484  0.14949533 -0.01328608
  0.04577214 -0.16915819 -0.08727739 -0.19508255  0.2975136   0.03697298
  0.184184   -0.46472567 -0.316531   -0.10211674  0.05800766  0.01082815
  0.1004985   0.13597399 -0.33056527 -0.00479651  0.10335483  0.32665026
  0.14456922 -0.58144546  0.19003546  0.11837604  0.25247142  0.2147815
  0.1017929   0.0618628   0.1461185   0.2514643  -0.0307993   0.01923522
 -0.03220838 -0.40506276 -0.19415106 -0.12399723 -0.15900706  0.5876469
  0.19857842  0.31011266  0.22643253  0.39784923 -0.34627458  0.3914492
  0.01835597  0.22875872 -0.4929893  -0.28324196 -0.26751485  0.05020397
 -0.21837342  0.27179408 -0.2032333  -0.26410493  0.25267634  0.13136837
  0.2008521   0.12591343 -0.28545105 -0.16358629 -0.1583096   0.3381184
  0.03456306 -0.09420345  0.01632547  0.06754367  0.3221432  -0.09536085
 -0.01321229 -0.4360477  -0.4966122  -0.34250468 -0.37428105  0.08095722
  0.22620064  0.02386557]"
112,DA9240,"[ 0.01903472  0.05277679 -0.1252197  -0.17731029 -0.25734723 -0.4266007
 -0.09273004 -0.28491074  0.26191238 -0.00767877  0.24573836  0.12301869
 -0.15490201  0.06525641  0.24585256  0.4563227  -0.08616468  0.15839809
  0.3225224  -0.11114319 -0.20661768 -0.12486193  0.22737089  0.09590586
 -0.21128485 -0.12359673  0.42785567 -0.07479353  0.20461899 -0.25919795
 -0.11371862  0.09849751  0.18883504  0.30036297  0.15776365  0.17759421
  0.11996432  0.02584342 -0.3349293  -0.17939344  0.09155399  0.00399596
  0.06389209  0.390158    0.09995626 -0.23999676  0.12425398 -0.15852818
  0.02373316  0.01295355 -0.4757745  -0.28420275  0.16627209 -0.10338859
 -0.1265943  -0.15152161  0.05106878 -0.21296942  0.17762172  0.01662256
  0.19834802 -0.33635467 -0.17294931 -0.20837742  0.14397743  0.12757236
  0.03767185  0.23611891 -0.2013988   0.10427902  0.12040723  0.2894302
  0.09587614 -0.5157168   0.16788861  0.03670009  0.11565944  0.09986757
  0.13303831  0.04199474  0.05062655  0.0494316  -0.10939775  0.06094915
  0.04331827 -0.39180803 -0.24657595 -0.0038515  -0.14719398  0.48722872
  0.09515264  0.11671573  0.29506552  0.14988604 -0.26991612  0.37637585
  0.00805857  0.1790531  -0.5663211  -0.29253593 -0.06476167  0.17747846
 -0.20121187  0.24712378 -0.13571595 -0.25107598  0.1067156   0.07263046
  0.19583674  0.20363073 -0.33869016 -0.21310464 -0.20764218  0.38681453
  0.06265109 -0.19542894  0.02598903  0.1706315   0.37215483  0.02091868
 -0.08602226 -0.4227961  -0.4554115  -0.28499866 -0.3246029   0.1841724
  0.22067344 -0.04422298]"
