head_label,tail_label,head_name,tail_name
AB12080,BA5441,上身,下身
AB12080,BA5406,上身,下身
AB17116,BA6706,上身,下身
AB17116,DA9138,上身,下身
AB17116,BA6624,上身,下身
AB17116,BA6724,上身,下身
AB17116,BA6614,上身,下身
AB17116,DA9193,上身,下身
AB17116,BA6623,上身,下身
AB17116,CA2586,上身,下身
AB17116,CA2417,上身,下身
AB17116,DA8574,上身,下身
AB17116,BA6677,上身,下身
AB17116,BA2080,上身,下身
AB17116,BA6618,上身,下身
AB17116,CA2411,上身,下身
AB17116,DA8822,上身,下身
AB17116,DA9243,上身,下身
AB17116,BA6780,上身,下身
AB17116,DA9287,上身,下身
AB17116,DA9343,上身,下身
AB17116,BA6387,上身,下身
AB16526,BA6519,上身,下身
AB16526,BA6580,上身,下身
AB16526,DA8980,上身,下身
AB16526,DA9030,上身,下身
AB16526,BA6511,上身,下身
AB16526,DA9044,上身,下身
AB16526,CA2499,上身,下身
AB16526,BA6505,上身,下身
AB16526,BA6434,上身,下身
AB16526,BA2952,上身,下身
AB16526,CA2451,上身,下身
AB16526,CA2495,上身,下身
AB16526,BA3759,上身,下身
AB16526,BA6588,上身,下身
AB16526,BA6450,上身,下身
AB16526,DA8899,上身,下身
AB16526,BA6568,上身,下身
AB16526,DA9009,上身,下身
AB16526,DA9073,上身,下身
AB16526,DA9151,上身,下身
AB16980,BA1595,上身,下身
AB16980,BA6720,上身,下身
AB16980,BA2080,上身,下身
AB16980,DA8574,上身,下身
AB16980,BA6682,上身,下身
AB16980,BA6668,上身,下身
AB16980,DA9343,上身,下身
AB16980,CA2557,上身,下身
AB16980,DA9243,上身,下身
AB16980,DA9130,上身,下身
AB16980,CA2411,上身,下身
AB16980,BA6706,上身,下身
AB16980,DA9138,上身,下身
AB16980,BA6624,上身,下身
AB16980,BA6724,上身,下身
AB16980,BA6614,上身,下身
AB16980,DA9193,上身,下身
AB16980,BA6623,上身,下身
AB16980,CA2586,上身,下身
AB16980,CA2417,上身,下身
AB15217,CA2410,上身,下身
AB15217,BA6287,上身,下身
AB15217,BA6645,上身,下身
AB15217,BA6643,上身,下身
AB15217,DA8700,上身,下身
AB15217,BA6272,上身,下身
AB15217,CA2389,上身,下身
AB15217,BA6633,上身,下身
AB15217,BA6332,上身,下身
AB15217,DA8788,上身,下身
AB15217,BA6737,上身,下身
AB15217,DA8547,上身,下身
AB15217,BA3274,上身,下身
AB15217,BA6684,上身,下身
AB15217,BA6744,上身,下身
AB15217,BA6343,上身,下身
AB15217,BA2175,上身,下身
AB15217,DA2668,上身,下身
AB15217,DA9277,上身,下身
AB15217,CA2578,上身,下身
AB13629,BA6403,上身,下身
AB13629,CA2535,上身,下身
AB13629,DA9000,上身,下身
AB13629,CA2491,上身,下身
AB13629,DA9100,上身,下身
AB13629,CA2470,上身,下身
AB13629,BA6600,上身,下身
AB13629,BA4862,上身,下身
AB13629,DA8948,上身,下身
AB13629,CA2539,上身,下身
AB13629,CA2545,上身,下身
AB13629,DA8897,上身,下身
AB13629,DA9132,上身,下身
AB13629,BA6442,上身,下身
AB13629,DA8917,上身,下身
AB13629,BA6417,上身,下身
AB13629,DA9125,上身,下身
AB13629,DA8898,上身,下身
AB13629,DA8894,上身,下身
AB13629,DA8945,上身,下身
AB11579,BA5527,上身,下身
AB11579,BA5277,上身,下身
AB11579,BA4021,上身,下身
AB11579,BA5954,上身,下身
AB11579,CA1578,上身,下身
AB11579,BA5870,上身,下身
AB11579,BA4957,上身,下身
AB11579,BA4862,上身,下身
AB11579,CA2544,上身,下身
AB11579,DA9119,上身,下身
AB11579,BA6488,上身,下身
AB11579,BA6429,上身,下身
AB11579,CA2533,上身,下身
AB11579,CA2444,上身,下身
AB11579,CA2438,上身,下身
AB11579,BA6601,上身,下身
AB11579,BA6592,上身,下身
AB11579,BA6438,上身,下身
AB11579,BA6410,上身,下身
