head_label,tail_label,head_name,tail_name
AB12755,BA6142,上身,下身
AB14522,BA5880,上身,下身
AB14522,BA1877,上身,下身
AB14522,CA1887,上身,下身
AB14522,BA6238,上身,下身
AB14522,BA6115,上身,下身
AB14522,BA5438,上身,下身
AB14522,CA2228,上身,下身
AB14522,BA6477,上身,下身
AB14522,BA6436,上身,下身
AB14522,BA5244,上身,下身
AB7533,BA6410,上身,下身
AB7533,BA5251,上身,下身
AB7533,BA5779,上身,下身
AB7533,CA1950,上身,下身
AB7533,BA4899,上身,下身
AB7533,BA5413,上身,下身
AB7533,CA2032,上身,下身
AB7533,DA9210,上身,下身
AB7533,BA6166,上身,下身
AB7533,BA5177,上身,下身
AB13696,BA6627,上身,下身
AB13696,BA4813,上身,下身
AB13696,BA2616,上身,下身
AB13696,BA5695,上身,下身
AB13696,BA5883,上身,下身
AB13696,CA2178,上身,下身
AB13696,BA1919,上身,下身
AB13696,BA5444,上身,下身
AB13696,BA5860,上身,下身
AB13696,DA9060,上身,下身
AB11843,BA6667,上身,下身
AB11843,CA1791,上身,下身
AB11843,CA2254,上身,下身
AB11843,DA9192,上身,下身
AB11843,BA5506,上身,下身
AB11843,BA3864,上身,下身
AB11843,CA2376,上身,下身
AB11843,CA2179,上身,下身
AB11843,BA6597,上身,下身
AB11843,DA8973,上身,下身
AB15217,CA1770,上身,下身
AB15217,CA1906,上身,下身
AB15217,BA4000,上身,下身
AB15217,BA4716,上身,下身
AB15217,BA6490,上身,下身
AB15217,BA6727,上身,下身
AB15217,BA4247,上身,下身
AB15217,BA6101,上身,下身
AB15217,CA2276,上身,下身
AB15217,BA5655,上身,下身
AB13312,BA6310,上身,下身
AB13312,CA1484,上身,下身
AB13312,BA5801,上身,下身
AB13312,CA2041,上身,下身
AB13312,BA6050,上身,下身
AB13312,BA6303,上身,下身
AB13312,BA5161,上身,下身
AB13312,BA5445,上身,下身
AB13312,BA5935,上身,下身
AB13312,DA8841,上身,下身
AB7164,CA1639,上身,下身
AB7164,CA1578,上身,下身
AB7164,BA5966,上身,下身
AB7164,CA1913,上身,下身
AB7164,BA6618,上身,下身
AB7164,DA8853,上身,下身
AB7164,BA4890,上身,下身
AB7164,BA5710,上身,下身
AB7164,CA1750,上身,下身
AB7164,CA1605,上身,下身
AB12339,CA1441,上身,下身
AB12339,BA5388,上身,下身
AB12339,BA5704,上身,下身
AB12339,BA5826,上身,下身
AB12339,BA6068,上身,下身
AB12339,CA2095,上身,下身
AB12339,BA5818,上身,下身
AB12339,BA5510,上身,下身
AB12339,BA5987,上身,下身
AB12339,BA5626,上身,下身
AB16034,BA5509,上身,下身
AB16034,DA9303,上身,下身
AB16034,CA2539,上身,下身
AB16034,BA6605,上身,下身
AB16034,CA1587,上身,下身
AB16034,BA6121,上身,下身
AB16034,BA5024,上身,下身
AB16034,BA3674,上身,下身
AB16034,BA6664,上身,下身
AB16034,BA2098,上身,下身
AB15655,BA4931,上身,下身
AB15655,CA2154,上身,下身
AB15655,CA1965,上身,下身
AB15655,BA5846,上身,下身
AB15655,BA5434,上身,下身
AB15655,BA5555,上身,下身
AB15655,BA4688,上身,下身
AB15655,BA4186,上身,下身
AB15655,BA5959,上身,下身
AB15655,BA5978,上身,下身
AB13583,BA5434,上身,下身
AB13583,BA5375,上身,下身
AB13583,CA1965,上身,下身
AB13583,CA1887,上身,下身
AB13583,BA5602,上身,下身
AB13583,CA1905,上身,下身
AB13583,BA4186,上身,下身
AB13583,CA2154,上身,下身
AB13583,BA5818,上身,下身
AB13583,BA4931,上身,下身
AB15597,CA1931,上身,下身
AB15597,CA1743,上身,下身
AB15597,CA2020,上身,下身
AB15597,BA5660,上身,下身
AB15597,BA6272,上身,下身
AB15597,CA2529,上身,下身
AB15597,BA6070,上身,下身
AB15597,BA5385,上身,下身
AB15597,DA8588,上身,下身
AB15597,BA6025,上身,下身
AB13075,BA6076,上身,下身
AB13075,BA5521,上身,下身
AB13075,CA2234,上身,下身
AB13075,BA5345,上身,下身
AB13075,BA4773,上身,下身
AB13075,BA6501,上身,下身
AB13075,BA5427,上身,下身
AB13075,BA6060,上身,下身
AB13075,BA5310,上身,下身
AB13075,DA2668,上身,下身
AB13380,CA1518,上身,下身
AB13380,BA6606,上身,下身
AB13380,CA1351,上身,下身
AB13380,CA1948,上身,下身
AB13380,BA4598,上身,下身
AB13380,CA1747,上身,下身
AB13380,BA5786,上身,下身
AB13380,CA1850,上身,下身
AB13380,CA764,上身,下身
AB13380,BA5289,上身,下身
EA2881,BA5521,上身,下身
EA2881,CA2234,上身,下身
EA2881,BA5869,上身,下身
EA2881,BA5427,上身,下身
EA2881,BA5345,上身,下身
EA2881,CA2027,上身,下身
EA2881,CA1888,上身,下身
EA2881,BA6076,上身,下身
EA2881,BA4168,上身,下身
EA2881,CA2062,上身,下身
EA3262,CA2202,上身,下身
EA3262,BA5460,上身,下身
EA3262,BA6422,上身,下身
EA3262,BA6527,上身,下身
EA3262,BA4552,上身,下身
EA3262,DA9320,上身,下身
EA3262,BA2098,上身,下身
EA3262,BA6563,上身,下身
EA3262,DA8974,上身,下身
EA3262,CA2449,上身,下身
AB16734,BA5626,上身,下身
AB16734,CA2437,上身,下身
AB16734,BA6134,上身,下身
AB16734,BA6203,上身,下身
AB16734,BA5732,上身,下身
AB16734,BA6724,上身,下身
AB16734,CA2586,上身,下身
AB16734,BA6191,上身,下身
AB16734,BA6706,上身,下身
AB16734,BA6133,上身,下身
AB6073,BA5441,上身,下身
AB6073,BA4793,上身,下身
AB6073,BA5665,上身,下身
AB6073,BA3327,上身,下身
AB6073,BA4065,上身,下身
AB6073,BA5811,上身,下身
AB6073,BA5606,上身,下身
AB6073,BA2626,上身,下身
AB6073,BA5312,上身,下身
AB6073,BA6082,上身,下身
AB11535,CA2327,上身,下身
AB11535,CA2127,上身,下身
AB11535,BA5927,上身,下身
AB11535,DA9154,上身,下身
AB11535,CA1384,上身,下身
AB11535,BA5477,上身,下身
AB11535,BA5209,上身,下身
AB11535,CA2306,上身,下身
AB11535,BA5247,上身,下身
AB11535,BA2521,上身,下身
AB11993,BA6641,上身,下身
AB11993,BA5446,上身,下身
AB11993,BA6556,上身,下身
AB11993,BA5526,上身,下身
AB11993,BA4251,上身,下身
AB11993,BA5459,上身,下身
AB11993,CA2429,上身,下身
AB11993,BA4274,上身,下身
AB11993,BA5841,上身,下身
AB11993,BA4041,上身,下身
AB16249,CA2209,上身,下身
AB16249,CA2447,上身,下身
AB16249,BA5790,上身,下身
AB16249,BA4418,上身,下身
AB16249,BA5896,上身,下身
AB16249,BA6669,上身,下身
AB16249,CA1862,上身,下身
AB16249,BA6025,上身,下身
AB16249,CA1603,上身,下身
AB16249,BA6272,上身,下身
AB13965,BA5963,上身,下身
