head_label,tail_label,head_name,tail_name
AB13315,BA6618,上身,下身
AB13315,DA9185,上身,下身
AB10307,BA6653,上身,下身
AB10307,DA9152,上身,下身
AB10307,DA9282,上身,下身
AB10307,BA6700,上身,下身
AB10307,DA8824,上身,下身
AB10307,CA2560,上身,下身
AB10307,BA6453,上身,下身
AB10307,BA6717,上身,下身
AB10307,BA6346,上身,下身
AB10307,BA6630,上身,下身
AB15344,BA3940,上身,下身
AB15344,BA5524,上身,下身
AB15344,CA1950,上身,下身
AB15344,BA5401,上身,下身
AB15344,BA2574,上身,下身
AB15344,BA5437,上身,下身
AB15344,DA9185,上身,下身
AB15344,BA6020,上身,下身
AB15344,BA5700,上身,下身
AB15344,DA9215,上身,下身
AB11879,BA3915,上身,下身
AB11879,BA5173,上身,下身
AB11879,CA249,上身,下身
AB11879,BA6623,上身,下身
AB11879,BA6724,上身,下身
AB11879,DA9193,上身,下身
AB11879,BA6706,上身,下身
AB11879,BA6624,上身,下身
AB11879,BA6614,上身,下身
AB11879,DA9138,上身,下身
AB16187,DA9220,上身,下身
AB16187,DA8945,上身,下身
AB16187,CA2491,上身,下身
AB16187,CA1114,上身,下身
AB16187,CA2539,上身,下身
AB16187,CA2430,上身,下身
AB16187,BA6626,上身,下身
AB16187,BA6646,上身,下身
AB16187,BA6501,上身,下身
AB16187,BA6526,上身,下身
AB14690,BA5441,上身,下身
AB14690,BA5945,上身,下身
AB14690,BA5884,上身,下身
AB14690,BA5953,上身,下身
AB14690,BA6442,上身,下身
AB14690,BA3972,上身,下身
AB14690,BA5720,上身,下身
AB14690,BA6621,上身,下身
AB14690,BA5554,上身,下身
AB14690,BA2250,上身,下身
AB13558,BA6668,上身,下身
AB13558,DA8574,上身,下身
AB13558,DA8544,上身,下身
AB13558,CA2409,上身,下身
AB13558,BA6310,上身,下身
AB13558,DA9185,上身,下身
AB13558,BA3940,上身,下身
AB13558,CA1950,上身,下身
AB13558,BA6682,上身,下身
AB13558,DA9210,上身,下身
EA2980,BA5437,上身,下身
EA2980,BA5401,上身,下身
EA2980,CA1950,上身,下身
EA2980,BA5343,上身,下身
EA2980,BA3940,上身,下身
EA2980,BA3255,上身,下身
EA2980,BA5326,上身,下身
EA2980,BA5422,上身,下身
EA2980,BA5510,上身,下身
EA2980,BA6020,上身,下身
AB14810,CA2557,上身,下身
AB14810,DA8715,上身,下身
AB14810,DA8853,上身,下身
AB14810,BA6313,上身,下身
AB14810,DA8824,上身,下身
AB14810,BA6670,上身,下身
AB14810,DA9263,上身,下身
AB14810,BA6736,上身,下身
AB14810,BA6740,上身,下身
AB14810,BA6346,上身,下身
AB14518,BA6677,上身,下身
AB14518,BA6630,上身,下身
AB14518,DA8786,上身,下身
AB14518,DA9160,上身,下身
AB14518,BA6717,上身,下身
